1048,49,"Jusqu'au dernier jour Till the end of time / Chopin-Kaye-Mossman-Aubert ; [interprété par] Jacques Aubert. J'aime les femmes, c'est ma folie / Pujol-Audiffred-Koger-Scotto ; [interprété par] Jacques Aubert [enregistrement sonore] =","Aubert, Jacques, musicien",1945,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1048/1/502797a.m4a
1049,50,Là où le Mississippi Where the Mississippi flows / [enregistrement sonore] = paroles françaises de Bézazian ; chanté par Torcom Bézazian. Lison-Lisette / Borel-Clerc ; chanté par Torcom Bézazian,"Bézazian, Torcom",1922,"1 disque : analogique, 80 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1049/1/496251a.m4a
1050,51,Laisse-moi si tu m'aimes  [enregistrement sonore] / de Montgaillard-des Loys ; [interprété par] Roméo Mousseau. Adorables tourments : valse tzigane / Gael-Barthélemy-Caruso ; [interprété par] Roméo Mousseau,"Mousseau, Roméo",1929,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1050/1/502304a.m4a
1051,52,"Laisse-moi t'aimer sur l'air de ""Let me call you sweetheart"" / [enregistrement sonore] : Friedman ; [interprété par] Hector Pellerin. Que tu me manques ce soir : sur l'air de ""Oh! how I miss you to-night"" / Davis-Fisher-Burke ; [interprété par] Hector Pellerin","Pellerin, Hector, 1887-1953",1926,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1051/1/495053a.m4a
1052,53,Laisse-moi te dire sur l'air de Let me call you sweetheart / [enregistrement sonore] : Beaudry-Whitson-Friedman ; [interprété par] Hercule Lavoie. Diamants bleus / Beaudry ; [interprété par] Hercule Lavoie,"Lavoie, Hercule",1926,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1052/1/498841a.m4a
1053,54,"Lancier (galop) 5ème partie ; Reel Pointe-au-Pic / J. Bouchard ; [interprété par] Joe Bouchard, violon avec piano. [enregistrement sonore] :","Bouchard, Jos, 1905-1979","1952,1938","1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1053/1/501324.m4a
1054,55,"Larmes d'amour  [enregistrement sonore] / A. Barbirolli ; [performed by] baritone solo, J.F. de Belleval. Pourquoi veux-tu briser mon coeur / D. Taberniaco and Ed. Perroud ; [performed by] baritone solo, J.F. de Belleval","Belleval, J.F. de (Joséphat Fournier de)",1923,"1 disque : analogique, 80 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1054/1/496834a.m4a
1055,56,Larmes d'amour Les feuilles sont mortes / Morax-Doret [enregistrement sonore] / Chapelle- Baribolli.,"Larochelle, Émile, 1891-1958",1928,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1055/1/503431a.m4a
1056,57,Laura  [enregistrement sonore] / Johnny Mercer-David Raksin ; [interprété par] Alys Robi. Petite Negrita = Negra consentida = My pet brunette / Harper-Joaquin Pardave ; paroles françaises d'Alys Robi ; [interprété par] Alys Robi,"Robi, Alys, 1923-2011",1944,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1056/1/503123.m4a
1057,58,La légende des flots bleus  [enregistrement sonore] / Christiné-Dalbert ; [interprété par] Hector Pellerin. Sous les ponts de Paris / Rodor-Scotto ; [interprété par] Hector Pellerin,"Pellerin, Hector, 1887-1953",1918,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1057/1/494467a.m4a
1058,59,La légende des nations Chante ma bergère / [interprété par] Conrad Gauthier [enregistrement sonore] / Solange ; [interprété par] Conrad Gauthier.,"Gauthier, Conrad, 1885-1964",1930,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1058/1/498373a.m4a
1059,60,Lenora  [enregistrement sonore] / Beaudry-Riesenfeld ; [interprété par] Jean Cartier. Nuits napolitaines / Max-Zamecnik ; [interprété par] Jean Cartier,"Cartier, Jean",1928,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1059/1/497655a.m4a
1060,61,La lettre le temps d'aimer / [enregistrement sonore] : Reynaldo Hahn ; [interprété par] Mde Jeanne Maubourg. Boccace : couplets du petit jardinier / Suppé ; [interprété par] Mde Jeanne Maubourg,"Hahn, Reynaldo, 1875-1947",1930,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1060/1/503427a.m4a
1061,62,La lettre d'un soldat canadien La réponse à la lettre d'un soldat canadien / Paradis-Remia ; [interprété par] Luiza Lebel [enregistrement sonore] / Paradis-Remia ; [interprété par] Roland Lebrun.,"Rémia, José",1942,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1061/1/503469.m4a
1062,63,Lilas-blanc Le couteau / [enregistrement sonore] ; Botrel ; [interprété par] Théodore Botrel,"Botrel, Théodore, 1868-1925",1922,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1062/1/502392a.m4a
1063,64,Lili Marlene Dolorès / Paradis- Frégeau ; [interprété par] Jacques Aubert [enregistrement sonore] / Jacques Aubert ; [interprété par] Jacques Aubert.,"Aubert, Jacques, musicien",1947,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1063/1/502800.m4a
1064,65,Lily Marlene Tout passe dans la vie / Fred Dolys-R. Thoreau-Fred Raymond ; [interprété par] Robert L'Herbier [enregistrement sonore] / Henry Lemarchand-Normert Schultze ; [interprété par] Robert L'Herbier.,"L'Herbier, Robert, 1921-2008",1947,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1064/1/503190a.m4a
1065,66,"Loin des guitares du film ""Au son des guitares"" / [enregistrement sonore] : Koger-Duthyl-Scotto-Audiffred ; [interprété par] Ludovic Huot. Chanson pour ma brune : du film ""Au son des guitares"" / Koger-Scotto ; [interprété par] Ludovic Huot","Scotto, Vincent, 1876-1952",1937,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1065/1/502562a.m4a
1066,67,Le long du corridor  [enregistrement sonore] / [interprété par] Hector Pellerin. En se promenant / Despax-Christiné ; [interprété par] Hector Pellerin,"Pellerin, Hector, 1887-1953",1923,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1066/1/495007b.m4a
1067,68,Le long du St. Laurent  [enregistrement sonore] / Palisse ; [interprété par] Hector Pellerin. Sous les orangers fleuris / Pothier-Borel-Clerc ; [interprété par] Hector Pellerin,"Pellerin, Hector, 1887-1953",1920,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1067/1/494574a.m4a
1068,69,Lord Jonas Le pendu / [enregistrement sonore] ; [interprété par] Conrad Gauthier,"Gauthier, Conrad, 1885-1964",1931,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1068/1/498387a.m4a
1069,70,Lorsqu'en mon coeur l'amour est venu When love comes stealing / [enregistrement sonore] = Beaudry-Rapee-Pollack-Hirsch ; [interprété par] Jean Cartier. Laissez parler les fleurs / R. Beaudry ; [interprété par] Jean Cartier,"Cartier, Jean",1928,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1069/1/497638a.m4a
1070,71,Le loup de mer  [enregistrement sonore] / Borel-Clerc. Le carillonneur / Daniderff,"Borel-Clerc, Charles, 1879-1959",1922,"1 disque : analogique, 80 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1070/1/496252a.m4a
1071,72,Le loup de mer  [enregistrement sonore] / Despax-Borel-Clerc. Sonne clairon / Mercey-Chaminade,"Borel-Clerc, Charles, 1879-1959",1920,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1071/1/495469a.m4a
